x	y
0.03 	0.02 
0.09 	0.03 
0.15 	0.05 
0.21 	0.06 
0.26 	0.08 
0.32 	0.09 
0.38 	0.11 
0.45 	0.12 
0.50 	0.14 
0.56 	0.15 
0.61 	0.16 
0.67 	0.18 
0.74 	0.20 
0.79 	0.21 
0.85 	0.22 
0.90 	0.24 
0.96 	0.26 
1.02 	0.27 
1.08 	0.29 
1.14 	0.30 
1.21 	0.32 
1.25 	0.33 
1.32 	0.35 
1.37 	0.36 
1.42 	0.37 
1.49 	0.39 
1.54 	0.40 
1.61 	0.42 
1.66 	0.44 
1.74 	0.45 
1.80 	0.46 
1.85 	0.48 
1.93 	0.50 
1.96 	0.51 
2.02 	0.53 
2.07 	0.54 
2.10 	0.55 
2.16 	0.57 
2.22 	0.58 
2.31 	0.60 
2.37 	0.62 
2.40 	0.63 
