y	x
1.629	0.65
1.745	0.7
1.862	0.75
1.92	0.8
1.92	0.85
1.92	0.9
2.036	0.95
2.153	1
2.269	1.05
2.269	1.1
2.269	1.15
2.327	1.2
2.443	1.25
2.56	1.3
2.618	1.35
2.676	1.4
2.734	1.45
2.793	1.5
2.851	1.55
2.967	1.6
3.083	1.65
3.142	1.7
3.142	1.75
3.142	1.8
3.2	1.85
3.316	1.9
3.432	1.95
3.491	2
3.549	2.05
3.607	2.1
3.665	2.15
3.723	2.2
3.84	2.25
3.956	2.3
4.014	2.35
4.014	2.4
4.014	2.45
4.131	2.5
4.247	2.55
4.305	2.6
4.305	2.65
4.363	2.7
4.48	2.75
4.538	2.8
4.596	2.85
4.712	2.9
4.771	2.95
4.771	3
4.829	3.05
4.945	3.1
5.061	3.15
5.061	3.2
5.061	3.25
5.178	3.3
5.294	3.35
5.411	3.4
5.411	3.45
5.411	3.5
5.527	3.55
5.643	3.6
5.76	3.65
5.76	3.7
5.76	3.75
5.818	3.8
5.934	3.85
6.05	3.9
6.109	3.95
6.109	4
6.109	4.05
6.225	4.1
6.341	4.15
6.458	4.2
6.458	4.25
6.458	4.3
6.516	4.35
6.632	4.4
6.749	4.45
6.807	4.5
6.865	4.55
6.923	4.6
6.981	4.65
7.039	4.7
7.156	4.75
7.214	4.8
7.214	4.85
7.214	4.9
7.33	4.95
7.447	5
7.505	5.05
7.563	5.1
7.621	5.15
7.679	5.2
7.738	5.25
7.796	5.3
7.854	5.35
7.912	5.4
8.029	5.45
8.145	5.5
8.203	5.55
8.203	5.6
8.203	5.65
8.261	5.7
8.378	5.75
8.494	5.8
8.552	5.85
8.552	5.9
8.552	5.95
8.668	6
8.785	6.05
8.901	6.1
8.901	6.15
8.901	6.2
8.959	6.25
9.076	6.3
9.192	6.35
9.25	6.4
9.308	6.45
9.367	6.5
9.425	6.55
9.425	6.6
9.425	6.65
9.483	6.7
9.599	6.75
9.716	6.8
9.832	6.85
9.89	6.9
