x	y
0.1	1.105
0.15	1.28
0.2	1.454
0.25	1.629
0.3	1.745
0.35	1.862
0.4	2.036
0.45	2.211
0.5	2.385
0.55	2.502
0.6	2.618
0.65	2.793
0.7	2.967
0.75	3.083
0.8	3.2
0.85	3.374
0.9	3.607
0.95	3.782
1	3.84
1.05	3.898
1.1	4.072
1.15	4.305
1.2	4.48
1.25	4.596
1.3	4.712
1.35	4.887
1.4	5.061
1.45	5.178
1.5	5.294
1.55	5.411
1.6	5.585
1.65	5.76
1.7	5.876
1.75	5.992
1.8	6.109
1.85	6.283
1.9	6.458
1.95	6.632
2	6.807
2.05	6.923
2.1	7.039
2.15	7.156
2.2	7.33
2.25	7.505
2.3	7.621
2.35	7.738
2.4	7.854
2.45	8.029
2.5	8.203
2.55	8.378
2.6	8.494
2.65	8.61
2.7	8.727
2.75	8.843
2.8	9.018
2.85	9.192
2.9	9.367
2.95	9.483
3	9.599
3.05	9.716
3.1	9.832
3.15	9.948
3.2	10.123
3.25	10.297
3.3	10.414
3.35	10.53
3.4	10.647
3.45	10.821
3.5	10.996
3.55	11.112
3.6	11.228
3.65	11.345
3.7	11.461
3.75	11.577
3.8	11.694
3.85	11.868
3.9	12.043
3.95	12.159
4	12.275
4.05	12.392
4.1	12.508
4.15	12.625
4.2	12.799
4.25	12.974
4.3	13.09
4.35	13.148
4.4	13.265
4.45	13.439
4.5	13.614
4.55	13.73
4.6	13.846
4.65	13.963
4.7	14.079
4.75	14.195
4.8	14.312
4.85	14.486
