time (s) position (m) uncertainty (m)
0.000	0.188	0.005
0.050	0.197        0.005
0.100	0.208        0.005
0.150	0.219        0.005
0.200	0.233        0.005
0.250	0.247        0.005
0.300	0.264        0.005
0.350	0.281        0.005
0.400	0.300        0.005
0.450	0.321        0.005
0.500	0.342        0.005
0.550	0.365        0.005
0.600	0.390        0.005
0.650	0.413        0.005
0.700	0.440        0.005
0.750	0.470        0.005
0.800	0.499        0.005
0.850	0.530        0.005
0.900	0.563        0.005
0.950	0.596        0.005
1.000	0.631        0.005
1.050	0.669        0.005
1.100	0.707        0.005
1.150	0.748        0.005
1.200	0.789        0.005

