E1	E2	E3
0.00045 	0.00451 	0.00787 
0.00082 	0.00306 	0.00961 
0.00026 	0.00316 	0.00915 
0.00070 	0.00470 	0.00949 
0.00063 	0.00432 	0.00834 
0.00013 	0.00423 	0.00881 
0.00063 	0.00365 	0.01027 
0.00063 	0.00365 	0.01049 
0.00070 	0.00385 	0.01027 
0.00020 	0.00479 	0.00775 
0.00093 	0.00470 	0.00799 
0.00039 	0.00497 	0.00949 
0.00045 	0.00306 	0.00915 
0.00051 	0.00365 	0.00811 
0.00051 	0.00479 	0.01176 
0.00032 	0.00365 	0.01027 
0.00020 	0.00432 	0.00892 
0.00000 	0.00442 	0.00904 
0.00020 	0.00375 	0.00972 
-0.00007 	0.00404 	0.00822 
